Subject.No.,Version,order,image,Surface,Planar.Straight,Spherical.Straight,Size,pointDistance (radians),pointDistance (degrees),Line.Length,Pull,rotation (degrees),Response,rt
1,1,128,Plane_3_4_4_0_.jpg,plane,curve,arc,4,1.15258907,66.03854498,4.658537748,0.457956724,26.23900964,1,0.68473196
1,1,129,Sphere_1_6_.jpg,sphere,line,geo,2.5198421,2.094393333,120,5.277389304,0,0,1,1.102298975
1,1,130,Plane_0_1_3_1_.jpg,plane,curve,arc,2,0.470542517,26.96012309,0.941968988,0.541769015,31.04110426,1,2.536478043
1,1,131,Sphere_0_6_(Neg)1_1_.jpg,sphere,curve,arc,2,2.094393333,120,4.195379095,0.23754704,13.61045432,1,1.634917974
1,1,132,Plane_0_0_4_.jpg,plane,line,arc,2,0.349065556,20,0.637759742,0,0,1,0.952394009
1,1,133,Sphere_1_1_.jpg,sphere,line,geo,2.5198421,0.470542517,26.96,1.185658877,0,0,1,0.886498928
1,1,134,gPlane_1_4_(Neg)1_.jpg,plane,curve,geo,2.5198421,1.15258907,66.03854498,2.904259258,0.113949051,6.528805206,1,1.252959967
1,1,135,Sphere_3_3_(Neg)5_.jpg,sphere,line,arc,4,0.855032498,48.99,2.96186101,0,0,0,1.565719843
1,1,136,Sphere_2_5_(Neg)2_.jpg,sphere,line,arc,3.174802104,1.553697159,89.02,4.824758207,0,0,0,0.818987131
1,1,137,gSphere_0_2_5_.jpg,sphere,curve,geo,2,0.634294209,36.34241186,1.268552076,0.538345563,30.84495473,0,0.884082079
1,1,138,gSphere_1_0_(Neg)4_.jpg,sphere,curve,geo,2.5198421,0.349065556,20,0.879564884,0.422274237,24.19455203,1,1.201140165
1,1,139,Sphere_0_1_(Neg)4_.jpg,sphere,line,arc,2,0.470542517,26.96,0.859704058,0,0,0,1.066959858
1,1,140,gPlane_3_5_(Neg)5_.jpg,plane,curve,geo,4,1.553697159,89.02036507,6.214610597,0.619955179,35.52084523,1,0.801903963
1,1,141,Sphere_0_4_2_1_.jpg,sphere,curve,arc,2,1.15258907,66.03854498,2.310638,0.387774603,22.21786689,0,2.16624999
1,1,142,Plane_2_6_.jpg,plane,line,geo,3.174802104,2.094393333,120,6.649093873,0,0,1,0.951126099
1,1,143,Plane_0_1_.jpg,plane,line,geo,2,0.470542517,26.96,0.941058074,0,0,1,0.581892967
