subject_no,version,order,image,surface,planar,spherical,line_length,response,reaction_time,size,separation,pull,spin,point_sep_rad,rotation_angle,height
5,5,13,Plane_1_3_.jpg,plane,line,geo,2.154548704746703,correct,1.417810917,1,3,0,NA,0.8550332201079094,0,0
5,5,14,Plane_1_5_.jpg,plane,line,geo,3.9150748196550467,correct,1.41938591,1,5,0,NA,1.5536984718136575,0,0
5,5,28,Plane_3_6_.jpg,plane,line,geo,8.37758040957278,correct,1.164629936,3,6,0,NA,2.094395102393195,0,0
5,5,43,Plane_2_3_.jpg,plane,line,geo,2.7145612661341048,correct,2.850260973,2,3,0,NA,0.8550332201079094,0,0
5,5,44,Plane_0_4_.jpg,plane,line,geo,2.3051800861811813,correct,1.219014168,0,4,0,NA,1.1525900430905907,0,0
5,5,46,Plane_1_4_.jpg,plane,line,geo,2.9043449143781483,correct,6.585098028,1,4,0,NA,1.1525900430905907,0,0
5,5,52,Plane_0_6_.jpg,plane,line,geo,4.18879020478639,correct,1.019717932,0,6,0,NA,2.094395102393195,0,0
5,5,58,Plane_3_2_.jpg,plane,line,geo,2.537178980056968,correct,2.217985868,3,2,0,NA,0.634294745014242,0,0
5,5,61,Plane_3_5_.jpg,plane,line,geo,6.21479388725463,correct,0.503077984,3,5,0,NA,1.5536984718136575,0,0
5,5,64,Plane_0_0_.jpg,plane,line,geo,0.6981317007977319,correct,1.251600981,0,0,0,NA,0.34906585039886595,0,0
5,5,66,Plane_2_6_.jpg,plane,line,geo,6.649289977552004,correct,3.23573184,2,6,0,NA,2.094395102393195,0,0
5,5,67,Plane_0_2_.jpg,plane,line,geo,1.268589490028484,correct,0.48626399,0,2,0,NA,0.634294745014242,0,0
5,5,70,Plane_2_4_.jpg,plane,line,geo,3.6592452937801516,correct,0.849093914,2,4,0,NA,1.1525900430905907,0,0
5,5,84,Plane_2_5_.jpg,plane,line,geo,4.932685177196768,correct,0.582214832,2,5,0,NA,1.5536984718136575,0,0
5,5,87,Plane_3_0_.jpg,plane,line,geo,1.3962634015954638,correct,0.519231081,3,0,0,NA,0.34906585039886595,0,0
5,5,107,Plane_3_3_.jpg,plane,line,geo,3.4201328804316375,incorrect,3.25188303,3,3,0,NA,0.8550332201079094,0,0
5,5,109,Plane_0_5_.jpg,plane,line,geo,3.107396943627315,correct,3.318034887,0,5,0,NA,1.5536984718136575,0,0
5,5,146,Plane_1_2_.jpg,plane,line,geo,1.5983226021622894,incorrect,0.684859991,1,2,0,NA,0.634294745014242,0,0
5,5,151,Plane_3_4_.jpg,plane,line,geo,4.610360172362363,correct,1.100285053,3,4,0,NA,1.1525900430905907,0,0
5,5,163,Plane_1_0_.jpg,plane,line,geo,0.8795908254339718,correct,1.301331043,1,0,0,NA,0.34906585039886595,0,0
5,5,165,Plane_1_6_.jpg,plane,line,geo,5.2775449526038285,correct,0.46749711,1,6,0,NA,2.094395102393195,0,0
