subject_no,trial,image,surface,planar,spherical,response,reaction_time,correct_ans,given_ans,size,separation,pull,spin,point_sep_rad,rotation_angle,height,line_length,curvature
23,20,Plane_0_1_.jpg,plane,line,geo,correct,2.469636202,y,y,0,1,0,NA,0.47054291469740406,0,0,0.9410858293948081,0
23,22,Plane_0_4_.jpg,plane,line,geo,correct,2.869938135,y,y,0,4,0,NA,1.1525900430905907,0,0,2.3051800861811813,0
23,30,Plane_0_0_.jpg,plane,line,geo,correct,2.019323111,y,y,0,0,0,NA,0.34906585039886595,0,0,0.6981317007977319,0
23,31,Plane_0_6_.jpg,plane,line,geo,correct,1.902853966,y,y,0,6,0,NA,2.094395102393195,0,0,4.18879020478639,0
23,35,Plane_0_3_.jpg,plane,line,geo,correct,2.567112207,y,y,0,3,0,NA,0.8550332201079094,0,0,1.7100664402158188,0
23,40,Plane_0_2_.jpg,plane,line,geo,correct,2.452754021,y,y,0,2,0,NA,0.634294745014242,0,0,1.268589490028484,0
23,53,Plane_0_5_.jpg,plane,line,geo,correct,4.486229897,y,y,0,5,0,NA,1.5536984718136575,0,0,3.107396943627315,0
24,4,Plane_0_3_.jpg,plane,line,geo,correct,1.967103958,y,y,0,3,0,NA,0.8550332201079094,0,0,1.7100664402158188,0
24,16,Plane_0_4_.jpg,plane,line,geo,correct,2.069750786,y,y,0,4,0,NA,1.1525900430905907,0,0,2.3051800861811813,0
24,32,Plane_0_1_.jpg,plane,line,geo,correct,1.436235905,y,y,0,1,0,NA,0.47054291469740406,0,0,0.9410858293948081,0
24,40,Plane_0_2_.jpg,plane,line,geo,correct,1.169641018,y,y,0,2,0,NA,0.634294745014242,0,0,1.268589490028484,0
24,43,Plane_0_6_.jpg,plane,line,geo,correct,1.969662905,y,y,0,6,0,NA,2.094395102393195,0,0,4.18879020478639,0
24,45,Plane_0_5_.jpg,plane,line,geo,correct,1.536238909,y,y,0,5,0,NA,1.5536984718136575,0,0,3.107396943627315,0
24,54,Plane_0_0_.jpg,plane,line,geo,correct,1.602959156,y,y,0,0,0,NA,0.34906585039886595,0,0,0.6981317007977319,0
25,1,Plane_0_3_.jpg,plane,line,geo,correct,3.836197853,y,y,0,3,0,NA,0.8550332201079094,0,0,1.7100664402158188,0
25,4,Plane_0_4_.jpg,plane,line,geo,correct,4.069850922,y,y,0,4,0,NA,1.1525900430905907,0,0,2.3051800861811813,0
25,12,Plane_0_1_.jpg,plane,line,geo,correct,3.369424105,y,y,0,1,0,NA,0.47054291469740406,0,0,0.9410858293948081,0
25,25,Plane_0_6_.jpg,plane,line,geo,correct,2.402926922,y,y,0,6,0,NA,2.094395102393195,0,0,4.18879020478639,0
25,35,Plane_0_0_.jpg,plane,line,geo,correct,2.602803946,y,y,0,0,0,NA,0.34906585039886595,0,0,0.6981317007977319,0
25,41,Plane_0_2_.jpg,plane,line,geo,correct,2.969602108,y,y,0,2,0,NA,0.634294745014242,0,0,1.268589490028484,0
25,51,Plane_0_5_.jpg,plane,line,geo,correct,1.836244106,y,y,0,5,0,NA,1.5536984718136575,0,0,3.107396943627315,0
26,5,Plane_0_5_.jpg,plane,line,geo,correct,2.769490004,y,y,0,5,0,NA,1.5536984718136575,0,0,3.107396943627315,0
26,7,Plane_0_4_.jpg,plane,line,geo,correct,2.802898884,y,y,0,4,0,NA,1.1525900430905907,0,0,2.3051800861811813,0
26,9,Plane_0_6_.jpg,plane,line,geo,correct,2.002799034,y,y,0,6,0,NA,2.094395102393195,0,0,4.18879020478639,0
26,18,Plane_0_2_.jpg,plane,line,geo,correct,2.536174059,y,y,0,2,0,NA,0.634294745014242,0,0,1.268589490028484,0
26,20,Plane_0_1_.jpg,plane,line,geo,correct,3.202915192,y,y,0,1,0,NA,0.47054291469740406,0,0,0.9410858293948081,0
26,26,Plane_0_0_.jpg,plane,line,geo,correct,2.536180973,y,y,0,0,0,NA,0.34906585039886595,0,0,0.6981317007977319,0
26,43,Plane_0_3_.jpg,plane,line,geo,correct,2.436142921,y,y,0,3,0,NA,0.8550332201079094,0,0,1.7100664402158188,0
27,4,Plane_0_1_.jpg,plane,line,geo,correct,2.169877052,y,y,0,1,0,NA,0.47054291469740406,0,0,0.9410858293948081,0
27,7,Plane_0_0_.jpg,plane,line,geo,correct,1.769505978,y,y,0,0,0,NA,0.34906585039886595,0,0,0.6981317007977319,0
27,10,Plane_0_2_.jpg,plane,line,geo,correct,1.736040115,y,y,0,2,0,NA,0.634294745014242,0,0,1.268589490028484,0
27,14,Plane_0_5_.jpg,plane,line,geo,correct,1.702933073,y,y,0,5,0,NA,1.5536984718136575,0,0,3.107396943627315,0
27,15,Plane_0_6_.jpg,plane,line,geo,correct,2.070054054,y,y,0,6,0,NA,2.094395102393195,0,0,4.18879020478639,0
27,30,Plane_0_4_.jpg,plane,line,geo,correct,1.836277008,y,y,0,4,0,NA,1.1525900430905907,0,0,2.3051800861811813,0
27,41,Plane_0_3_.jpg,plane,line,geo,correct,1.533836126,y,y,0,3,0,NA,0.8550332201079094,0,0,1.7100664402158188,0
29,3,Plane_0_5_.jpg,plane,line,geo,correct,2.569432974,y,y,0,5,0,NA,1.5536984718136575,0,0,3.107396943627315,0
29,10,Plane_0_6_.jpg,plane,line,geo,correct,1.936308861,y,y,0,6,0,NA,2.094395102393195,0,0,4.18879020478639,0
29,15,Plane_0_3_.jpg,plane,line,geo,correct,1.936226845,y,y,0,3,0,NA,0.8550332201079094,0,0,1.7100664402158188,0
29,37,Plane_0_2_.jpg,plane,line,geo,correct,1.733896017,y,y,0,2,0,NA,0.634294745014242,0,0,1.268589490028484,0
29,42,Plane_0_0_.jpg,plane,line,geo,correct,1.736139059,y,y,0,0,0,NA,0.34906585039886595,0,0,0.6981317007977319,0
29,53,Plane_0_4_.jpg,plane,line,geo,correct,2.202634096,y,y,0,4,0,NA,1.1525900430905907,0,0,2.3051800861811813,0
29,56,Plane_0_1_.jpg,plane,line,geo,correct,2.036095142,y,y,0,1,0,NA,0.47054291469740406,0,0,0.9410858293948081,0
31,2,Plane_0_1_.jpg,plane,line,geo,correct,2.502993107,y,y,0,1,0,NA,0.47054291469740406,0,0,0.9410858293948081,0
31,6,Plane_0_0_.jpg,plane,line,geo,correct,6.102935076,y,y,0,0,0,NA,0.34906585039886595,0,0,0.6981317007977319,0
31,13,Plane_0_6_.jpg,plane,line,geo,correct,4.303038836,y,y,0,6,0,NA,2.094395102393195,0,0,4.18879020478639,0
31,35,Plane_0_3_.jpg,plane,line,geo,correct,1.802834034,y,y,0,3,0,NA,0.8550332201079094,0,0,1.7100664402158188,0
31,37,Plane_0_4_.jpg,plane,line,geo,correct,1.902817011,y,y,0,4,0,NA,1.1525900430905907,0,0,2.3051800861811813,0
31,44,Plane_0_5_.jpg,plane,line,geo,correct,3.069499016,y,y,0,5,0,NA,1.5536984718136575,0,0,3.107396943627315,0
31,54,Plane_0_2_.jpg,plane,line,geo,correct,2.736147165,y,y,0,2,0,NA,0.634294745014242,0,0,1.268589490028484,0
32,8,Plane_0_4_.jpg,plane,line,geo,correct,2.902844906,y,y,0,4,0,NA,1.1525900430905907,0,0,2.3051800861811813,0
32,18,Plane_0_2_.jpg,plane,line,geo,correct,2.836236954,y,y,0,2,0,NA,0.634294745014242,0,0,1.268589490028484,0
32,25,Plane_0_3_.jpg,plane,line,geo,correct,3.069469213,y,y,0,3,0,NA,0.8550332201079094,0,0,1.7100664402158188,0
32,26,Plane_0_1_.jpg,plane,line,geo,correct,3.302925825,y,y,0,1,0,NA,0.47054291469740406,0,0,0.9410858293948081,0
32,28,Plane_0_6_.jpg,plane,line,geo,correct,3.102876902,y,y,0,6,0,NA,2.094395102393195,0,0,4.18879020478639,0
32,46,Plane_0_5_.jpg,plane,line,geo,correct,3.002899885,y,y,0,5,0,NA,1.5536984718136575,0,0,3.107396943627315,0
32,52,Plane_0_0_.jpg,plane,line,geo,correct,2.769567013,y,y,0,0,0,NA,0.34906585039886595,0,0,0.6981317007977319,0
33,6,Plane_0_0_.jpg,plane,line,geo,correct,1.936013937,y,y,0,0,0,NA,0.34906585039886595,0,0,0.6981317007977319,0
33,8,Plane_0_2_.jpg,plane,line,geo,correct,2.336264849,y,y,0,2,0,NA,0.634294745014242,0,0,1.268589490028484,0
33,9,Plane_0_6_.jpg,plane,line,geo,correct,2.336374998,y,y,0,6,0,NA,2.094395102393195,0,0,4.18879020478639,0
33,11,Plane_0_4_.jpg,plane,line,geo,correct,2.536344051,y,y,0,4,0,NA,1.1525900430905907,0,0,2.3051800861811813,0
33,33,Plane_0_3_.jpg,plane,line,geo,correct,1.569527149,y,y,0,3,0,NA,0.8550332201079094,0,0,1.7100664402158188,0
33,39,Plane_0_1_.jpg,plane,line,geo,correct,1.902901888,y,y,0,1,0,NA,0.47054291469740406,0,0,0.9410858293948081,0
33,52,Plane_0_5_.jpg,plane,line,geo,correct,1.436224937,y,y,0,5,0,NA,1.5536984718136575,0,0,3.107396943627315,0
36,9,Plane_0_5_.jpg,plane,line,geo,correct,2.993077993,y,y,0,5,0,NA,1.5536984718136575,0,0,3.107396943627315,0
36,11,Plane_0_3_.jpg,plane,line,geo,correct,1.404245853,y,y,0,3,0,NA,0.8550332201079094,0,0,1.7100664402158188,0
